Headlines,Time,Description,cleaned_text,standardized_text,tokens
Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush," 7:51  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer recommended buying four companies that are supporting vaccine developers.",jim cramer a better way to invest in the covid vaccine gold rush,jim cramer a better way to invest in the covid vaccine gold rush,"['jim', 'cramer', 'better', 'way', 'invest', 'covid', 'vaccine', 'gold', 'rush']"
Cramer's lightning round: I would own Teradyne," 7:33  PM ET Fri, 17 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i would own teradyne,cramers lightning round i would own teradyne,"['cramers', 'lightning', 'round', 'teradyne']"
,,,,,[]
"Cramer's week ahead: Big week for earnings, even bigger week for vaccines"," 7:25  PM ET Fri, 17 July 2020","""We'll pay more for the earnings of the non-Covid companies if The Lancet publishes some good news from AstraZeneca's vaccine trial,"" Cramer said.",cramers week ahead big week for earnings even bigger week for vaccines,cramers week ahead big week for earnings even bigger week for vaccines,"['cramers', 'week', 'ahead', 'big', 'week', 'earnings', 'bigger', 'week', 'vaccines']"
IQ Capital CEO Keith Bliss says tech and healthcare will rally," 4:24  PM ET Fri, 17 July 2020","Keith Bliss, IQ Capital CEO, joins ""Closing Bell"" to talk about the broader markets, including the performance of the S&P 500 and the Nasdaq.",iq capital ceo keith bliss says tech and healthcare will rally,iq capital ceo keith bliss says tech and healthcare will rally,"['iq', 'capital', 'ceo', 'keith', 'bliss', 'says', 'tech', 'healthcare', 'rally']"
"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says"," 7:36  PM ET Thu, 16 July 2020","""Look for the stocks of high-quality companies that are going lower even though they deserve to go higher,"" the ""Mad Money"" host advised.",wall street delivered the kind of pullback ive been waiting for jim cramer says,wall street delivered the kind of pullback ive been waiting for jim cramer says,"['wall', 'street', 'delivered', 'kind', 'pullback', 've', 'waiting', 'jim', 'cramer', 'says']"
Cramer's lightning round: I would just stay long Wex," 7:23  PM ET Thu, 16 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i would just stay long wex,cramers lightning round i would just stay long wex,"['cramers', 'lightning', 'round', 'stay', 'long', 'wex']"
Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding'," 8:03  PM ET Thu, 16 July 2020","Investing $5 per day can compound to $70,000 by the time a child reaches adulthood, said Noah Kerner, CEO of micro-investing app Acorns.",acorns ceo parents can turn into five figures for their kids through power of compounding,acorns ceo parents can turn into five figures for their kids through power of compounding,"['acorns', 'ceo', 'parents', 'turn', 'figures', 'kids', 'power', 'compounding']"
Dividend cuts may mean rethinking your retirement income strategy," 8:54  AM ET Thu, 16 July 2020","Hundreds of companies have cut or suspended their dividends so far this year, and the second half of the year is when investors will feel those reductions the most.",dividend cuts may mean rethinking your retirement income strategy,dividend cuts may mean rethinking your retirement income strategy,"['dividend', 'cuts', 'mean', 'rethinking', 'retirement', 'income', 'strategy']"
,,,,,[]
"StockX has authenticated 1 million Jordan sneakers this year, CEO says"," 8:25  PM ET Wed, 15 July 2020","""We've been able to capture these cultural moments,"" like ESPN's release of the ""The Last Dance"" earlier this year, CEO Scott Cutler said on ""Mad Money.""",stockx has authenticated million jordan sneakers this year ceo says,stockx has authenticated million jordan sneakers this year ceo says,"['stockx', 'authenticated', 'million', 'jordan', 'sneakers', 'year', 'ceo', 'says']"
Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug," 7:51  PM ET Wed, 15 July 2020",Biohaven CEO Vlad Coric said the company brought on Khloe Kardashian to promote its migraine treatment to break the stigma around it.,biohaven pharmaceuticals lands khloe kardashian as influencer of new migraine drug,biohaven pharmaceuticals lands khloe kardashian as influencer of new migraine drug,"['biohaven', 'pharmaceuticals', 'lands', 'khloe', 'kardashian', 'influencer', 'new', 'migraine', 'drug']"
Cramer's lightning round: I like Beyond Meat," 7:24  PM ET Wed, 15 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i like beyond meat,cramers lightning round i like beyond meat,"['cramers', 'lightning', 'round', 'like', 'meat']"
"Cramer: We desperately need another round of federal stimulus, despite vaccine progress"," 6:51  PM ET Wed, 15 July 2020","""We figured we'd have maybe the virus contained in early fall, but we botched the reopening and now states are being forced to shut down again,"" the ""Mad Money"" host said.",cramer we desperately need another round of federal stimulus despite vaccine progress,cramer we desperately need another round of federal stimulus despite vaccine progress,"['cramer', 'desperately', 'need', 'round', 'federal', 'stimulus', 'despite', 'vaccine', 'progress']"
Cramer's lightning round: Buy more VMware," 7:31  PM ET Tue, 14 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round buy more vmware,cramers lightning round buy more vmware,"['cramers', 'lightning', 'round', 'buy', 'vmware']"
"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says"," 7:23  PM ET Tue, 14 July 2020","""This market is divided into four camps,"" the ""Mad Money"" host said.",wall street did something highly unusual in tuesdays session jim cramer says,wall street did something highly unusual in tuesdays session jim cramer says,"['wall', 'street', 'highly', 'unusual', 'tuesdays', 'session', 'jim', 'cramer', 'says']"
"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns"," 7:02  PM ET Tue, 14 July 2020","The charts, as interpreted by Larry Williams, suggest the S&P 500 could climb another 5% in coming weeks before equities begin to retreat, Cramer said.",charts suggest the sp climb will stall out at the end of july jim cramer warns,charts suggest the sp climb will stall out at the end of july jim cramer warns,"['charts', 'suggest', 'sp', 'climb', 'stall', 'end', 'july', 'jim', 'cramer', 'warns']"
Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks," 9:05  PM ET Mon, 13 July 2020","Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge.",salesforces marc benioff face masks can end the us coronavirus crisis within weeks,salesforces marc benioff face masks can end the us coronavirus crisis within weeks,"['salesforces', 'marc', 'benioff', 'face', 'masks', 'end', 'coronavirus', 'crisis', 'weeks']"
"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says"," 8:33  PM ET Mon, 13 July 2020","Either Crown Castle becomes a leaner, meaner cell tower play with a high dividend, or the company ups its game to fend off Elliott Management's activist position, the ""Mad Money"" host said.",crown castles good story can get even better on activist fight jim cramer says,crown castles good story can get even better on activist fight jim cramer says,"['crown', 'castles', 'good', 'story', 'better', 'activist', 'fight', 'jim', 'cramer', 'says']"
Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession'," 9:43  PM ET Mon, 13 July 2020","Ellevest CEO Sallie Krawcheck, who co-founded the digital investment firm for women, explained how the pandemic is affecting women, and women of color even more severly.",ellevests sallie krawcheck says the economic crisis has caused a shecession,ellevests sallie krawcheck says the economic crisis has caused a shecession,"['ellevests', 'sallie', 'krawcheck', 'says', 'economic', 'crisis', 'caused', 'shecession']"
Cramer's lightning round: Zoom's pullback is a buying opportunity," 7:38  PM ET Mon, 13 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round zooms pullback is a buying opportunity,cramers lightning round zooms pullback is a buying opportunity,"['cramers', 'lightning', 'round', 'zooms', 'pullback', 'buying', 'opportunity']"
