Time,Headlines,cleaned_text,standardized_text,tokens
18-Jul-20,Johnson is asking Santa for a Christmas recovery,jul,jul,['jul']
18-Jul-20,‘I now fear the worst’: four grim tales of working life upended by Covid-19,jul,jul,['jul']
18-Jul-20,Five key areas Sunak must tackle to serve up economic recovery,jul,jul,['jul']
18-Jul-20,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,jul,jul,['jul']
18-Jul-20,"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",jul,jul,['jul']
18-Jul-20,English councils call for smoking ban outside pubs and cafes,jul,jul,['jul']
18-Jul-20,Can Tesla justify a $300bn valuation?,jul,jul,['jul']
18-Jul-20,Empty city centres: 'I’m not sure it will ever be the same again',jul,jul,['jul']
18-Jul-20,Democratising finance for all? An investment app for amateurs and a student trader's death,jul,jul,['jul']
18-Jul-20,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",jul,jul,['jul']
18-Jul-20,St Mawes named UK’s top seaside resort in Which? poll,jul,jul,['jul']
18-Jul-20,Atol protection to be extended to vouchers on Covid-19 cancellations,jul,jul,['jul']
18-Jul-20,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",jul,jul,['jul']
18-Jul-20,Boohoo calls for licensing scheme to ensure textile factories fit to trade,jul,jul,['jul']
18-Jul-20,All Asda HQ staff told to return to office at least once a week from August,jul,jul,['jul']
18-Jul-20,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",jul,jul,['jul']
18-Jul-20,British Airways retires iconic Boeing 747 fleet – in pictures,jul,jul,['jul']
18-Jul-20,World Bank calls on creditors to cut poorest nations' debt payments,jul,jul,['jul']
18-Jul-20,British Airways retires Boeing 747 fleet as Covid-19 hits travel,jul,jul,['jul']
18-Jul-20,What will changes to England's lockdown rules mean for me?,jul,jul,['jul']
17-Jul-20,In search of a new economics for Covid-19 era,jul,jul,['jul']
17-Jul-20,Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,jul,jul,['jul']
17-Jul-20,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",jul,jul,['jul']
17-Jul-20,BA begins to carry out its 'fire and rehire' threat to jobs,jul,jul,['jul']
17-Jul-20,"Johnson's coronavirus workplace guidance confused, warn unions",jul,jul,['jul']
17-Jul-20,What will be changing in Boris Johnson's 'return to normality',jul,jul,['jul']
17-Jul-20,Lloyds to increase number of black staff in senior roles,jul,jul,['jul']
17-Jul-20,Silicon Valley has deep pockets for African startups – if you’re not African,jul,jul,['jul']
17-Jul-20,'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver,jul,jul,['jul']
17-Jul-20,Future of education  'The MIT of the north': how the government plans to transform ex-mining towns,jul,jul,['jul']
17-Jul-20,Battery firm chooses Welsh site for Britain's first gigafactory,jul,jul,['jul']
17-Jul-20,Netflix shares drop despite positive second-quarter earnings,jul,jul,['jul']
